Chr	Start	End	Coordinates	Strand	Length	Cluster	Symbol
4	102577264	102577464	4:102577264-102577464	.	200	cluster_2	Sgip1
4	137222794	137222994	4:137222794-137222994	.	200	cluster_2	Hspg2
5	20100996	20101196	5:20100996-20101196	.	200	cluster_2	Magi2
5	72880839	72881039	5:72880839-72881039	.	200	cluster_2	Txk
5	117296833	117297033	5:117296833-117297033	.	200	cluster_2	Taok3
5	120664476	120664676	5:120664476-120664676	.	200	cluster_2	Slc8b1
5	123039893	123040093	5:123039893-123040093	.	200	cluster_2	Kdm2b
5	132287855	132288055	5:132287855-132288055	.	200	cluster_2	Auts2
5	145035109	145035309	5:145035109-145035309	.	200	cluster_2	Arpc1a
6	95031088	95031288	6:95031088-95031288	.	200	cluster_2	Kbtbd8
6	99225474	99225674	6:99225474-99225674	.	200	cluster_2	Foxp1
6	100487750	100487950	6:100487750-100487950	.	200	cluster_2	Gm44107
6	145015202	145015402	6:145015202-145015402	.	200	cluster_2	Bcat1
6	146008984	146009184	6:146008984-146009184	.	200	cluster_2	Itpr2
7	24706114	24706314	7:24706114-24706314	.	200	cluster_2	Atp1a3
7	96126639	96126839	7:96126639-96126839	.	200	cluster_2	Tenm4
7	114930989	114931189	7:114930989-114931189	.	200	cluster_2	
7	125071332	125071532	7:125071332-125071532	.	200	cluster_2	Nsmce1
8	3733851	3734051	8:3733851-3734051	.	200	cluster_2	Fcer2a
8	34458409	34458609	8:34458409-34458609	.	200	cluster_2	Gm39157
8	95691585	95691785	8:95691585-95691785	.	200	cluster_2	Adgrg1
8	115953970	115954170	8:115953970-115954170	.	200	cluster_2	4930488N15Rik
8	116003149	116003349	8:116003149-116003349	.	200	cluster_2	4930488N15Rik
8	121039286	121039486	8:121039286-121039486	.	200	cluster_2	
8	121104687	121104887	8:121104687-121104887	.	200	cluster_2	
8	122604095	122604295	8:122604095-122604295	.	200	cluster_2	Slc7a5
9	42039330	42039530	9:42039330-42039530	.	200	cluster_2	Sorl1
9	56015562	56015762	9:56015562-56015762	.	200	cluster_2	Pstpip1
9	58309057	58309257	9:58309057-58309257	.	200	cluster_2	1700072B07Rik
9	112006939	112007139	9:112006939-112007139	.	200	cluster_2	Arpp21
10	14350788	14350988	10:14350788-14350988	.	200	cluster_2	Gm46212
11	75924813	75925013	11:75924813-75925013	.	200	cluster_2	Rflnb
11	76389147	76389347	11:76389147-76389347	.	200	cluster_2	Abr
11	110056801	110057001	11:110056801-110057001	.	200	cluster_2	Abca9
12	5258030	5258230	12:5258030-5258230	.	200	cluster_2	Klhl29
12	17765791	17765991	12:17765791-17765991	.	200	cluster_2	Hpcal1
12	84322169	84322369	12:84322169-84322369	.	200	cluster_2	Ptgr2
12	102263414	102263614	12:102263414-102263614	.	200	cluster_2	Rin3
12	112797230	112797430	12:112797230-112797430	.	200	cluster_2	
12	119447803	119448003	12:119447803-119448003	.	200	cluster_2	Macc1
13	49445517	49445717	13:49445517-49445717	.	200	cluster_2	Fgd3
13	54369925	54370125	13:54369925-54370125	.	200	cluster_2	Hrh2
13	58185385	58185585	13:58185385-58185585	.	200	cluster_2	Klhl3
14	29891484	29891684	14:29891484-29891684	.	200	cluster_2	Cacna1d
14	105669097	105669297	14:105669097-105669297	.	200	cluster_2	5430440P10Rik
15	34390222	34390422	15:34390222-34390422	.	200	cluster_2	9430069I07Rik
15	57844192	57844392	15:57844192-57844392	.	200	cluster_2	Fam83a
15	67334794	67334994	15:67334794-67334994	.	200	cluster_2	1700012I11Rik
15	97320262	97320462	15:97320262-97320462	.	200	cluster_2	
15	100571842	100572042	15:100571842-100572042	.	200	cluster_2	Bin2
16	23812025	23812225	16:23812025-23812225	.	200	cluster_2	Bcl6
17	8444122	8444322	17:8444122-8444322	.	200	cluster_2	Ccr6
17	31289887	31290087	17:31289887-31290087	.	200	cluster_2	Abcg1
17	32412122	32412322	17:32412122-32412322	.	200	cluster_2	Ephx3
17	53894529	53894729	17:53894529-53894729	.	200	cluster_2	Kat2b
17	57377384	57377584	17:57377384-57377584	.	200	cluster_2	Gm49888
17	87131998	87132198	17:87131998-87132198	.	200	cluster_2	Epas1
18	76028954	76029154	18:76028954-76029154	.	200	cluster_2	Zbtb7c
19	48512340	48512540	19:48512340-48512540	.	200	cluster_2	Sorcs3
19	55648609	55648809	19:55648609-55648809	.	200	cluster_2	Tcf7l2
1	55475864	55476064	1:55475864-55476064	.	200	cluster_3	Plcl1
1	97646306	97646506	1:97646306-97646506	.	200	cluster_3	Ppip5k2
1	128640684	128640884	1:128640684-128640884	.	200	cluster_3	Gm26686
1	130628080	130628280	1:130628080-130628280	.	200	cluster_3	Pfkfb2
2	27359434	27359634	2:27359434-27359634	.	200	cluster_3	Brd3
2	117842290	117842490	2:117842290-117842490	.	200	cluster_3	Gm13986
2	120124719	120124919	2:120124719-120124919	.	200	cluster_3	Pla2g4d
3	10142282	10142482	3:10142282-10142482	.	200	cluster_3	Myef2l
3	38406211	38406411	3:38406211-38406411	.	200	cluster_3	Gm42920
3	87635402	87635602	3:87635402-87635602	.	200	cluster_3	Lrrc71
3	101201147	101201347	3:101201147-101201347	.	200	cluster_3	
3	145950459	145950659	3:145950459-145950659	.	200	cluster_3	Lpar3
4	3782642	3782842	4:3782642-3782842	.	200	cluster_3	Lyn
4	57104019	57104219	4:57104019-57104219	.	200	cluster_3	Epb41l4b
4	106420677	106420877	4:106420677-106420877	.	200	cluster_3	Dhcr24
4	114521347	114521547	4:114521347-114521547	.	200	cluster_3	Gm28864
4	129702249	129702449	4:129702249-129702449	.	200	cluster_3	
4	137542886	137543086	4:137542886-137543086	.	200	cluster_3	Alpl
4	141884164	141884364	4:141884164-141884364	.	200	cluster_3	Kazn
4	153599998	153600198	4:153599998-153600198	.	200	cluster_3	Ajap1
5	52244213	52244413	5:52244213-52244413	.	200	cluster_3	Gm43177
5	99414308	99414508	5:99414308-99414508	.	200	cluster_3	Gm35394
5	100497007	100497207	5:100497007-100497207	.	200	cluster_3	Sec31a
5	112492078	112492278	5:112492078-112492278	.	200	cluster_3	Hps4
5	144118200	144118400	5:144118200-144118400	.	200	cluster_3	Bhlha15
6	37261970	37262170	6:37261970-37262170	.	200	cluster_3	Dgki
6	83868297	83868497	6:83868297-83868497	.	200	cluster_3	Zfp638
6	108679675	108679875	6:108679675-108679875	.	200	cluster_3	Bhlhe40
6	114983102	114983302	6:114983102-114983302	.	200	cluster_3	Tamm41
6	122361165	122361365	6:122361165-122361365	.	200	cluster_3	1700063H04Rik
6	141015733	141015933	6:141015733-141015933	.	200	cluster_3	Gm30524
6	145094790	145094990	6:145094790-145094990	.	200	cluster_3	Irag2
7	28283460	28283660	7:28283460-28283660	.	200	cluster_3	Pak4
7	29146960	29147160	7:29146960-29147160	.	200	cluster_3	Sipa1l3
7	83970761	83970961	7:83970761-83970961	.	200	cluster_3	Arnt2
7	111840036	111840236	7:111840036-111840236	.	200	cluster_3	Mical2
7	127488098	127488298	7:127488098-127488298	.	200	cluster_3	Prss53
8	27204249	27204449	8:27204249-27204449	.	200	cluster_3	Gm32098
8	33938773	33938973	8:33938773-33938973	.	200	cluster_3	Purg
8	93602534	93602734	8:93602534-93602734	.	200	cluster_3	Gm45472
8	123408402	123408602	8:123408402-123408602	.	200	cluster_3	Cbfa2t3
8	126710323	126710523	8:126710323-126710523	.	200	cluster_3	Kcnk1
9	57885412	57885612	9:57885412-57885612	.	200	cluster_3	Gm17322
9	61012923	61013123	9:61012923-61013123	.	200	cluster_3	4933433G08Rik
9	61296768	61296968	9:61296768-61296968	.	200	cluster_3	Tle3
9	65980192	65980392	9:65980192-65980392	.	200	cluster_3	Snx22
9	99064396	99064596	9:99064396-99064596	.	200	cluster_3	
9	108593488	108593688	9:108593488-108593688	.	200	cluster_3	Prkar2a
9	110909964	110910164	9:110909964-110910164	.	200	cluster_3	Ccrl2
10	13822322	13822522	10:13822322-13822522	.	200	cluster_3	
10	21765375	21765575	10:21765375-21765575	.	200	cluster_3	Sgk1
10	42169911	42170111	10:42169911-42170111	.	200	cluster_3	
10	59072320	59072520	10:59072320-59072520	.	200	cluster_3	Sowahc
10	77386930	77387130	10:77386930-77387130	.	200	cluster_3	Itgb2
10	95603630	95603830	10:95603630-95603830	.	200	cluster_3	
10	96301906	96302106	10:96301906-96302106	.	200	cluster_3	Gm48505
10	96522041	96522241	10:96522041-96522241	.	200	cluster_3	Btg1
11	74467973	74468173	11:74467973-74468173	.	200	cluster_3	Rap1gap2
11	113529664	113529864	11:113529664-113529864	.	200	cluster_3	Cog1
11	114084933	114085133	11:114084933-114085133	.	200	cluster_3	1700092K14Rik
13	47150951	47151151	13:47150951-47151151	.	200	cluster_3	2010001K21Rik
14	14540535	14540735	14:14540535-14540735	.	200	cluster_3	Gm45521
14	103950475	103950675	14:103950475-103950675	.	200	cluster_3	Slain1os
15	8693332	8693532	15:8693332-8693532	.	200	cluster_3	Slc1a3
15	37654673	37654873	15:37654673-37654873	.	200	cluster_3	Gm15942
15	59656182	59656382	15:59656182-59656382	.	200	cluster_3	Gm19510
15	78152159	78152359	15:78152159-78152359	.	200	cluster_3	Ncf4
15	82893870	82894070	15:82893870-82894070	.	200	cluster_3	Nfam1
15	84604085	84604285	15:84604085-84604285	.	200	cluster_3	Arhgap8
16	17987121	17987321	16:17987121-17987321	.	200	cluster_3	Rtn4r
16	23746580	23746780	16:23746580-23746780	.	200	cluster_3	Rtp2
16	29591563	29591763	16:29591563-29591763	.	200	cluster_3	Gm49636
16	29749350	29749550	16:29749350-29749550	.	200	cluster_3	Gm26569
16	59399677	59399877	16:59399677-59399877	.	200	cluster_3	Crybg3
17	36003367	36003567	17:36003367-36003567	.	200	cluster_3	Ddr1
17	48623023	48623223	17:48623023-48623223	.	200	cluster_3	B430306N03Rik
17	48866008	48866208	17:48866008-48866208	.	200	cluster_3	Gm49896
17	50488010	50488210	17:50488010-50488210	.	200	cluster_3	Rftn1
17	65088171	65088371	17:65088171-65088371	.	200	cluster_3	Dreh
17	69544577	69544777	17:69544577-69544777	.	200	cluster_3	Epb41l3
17	72262127	72262327	17:72262127-72262327	.	200	cluster_3	Clip4
17	87713079	87713279	17:87713079-87713279	.	200	cluster_3	Stpg4
18	39130217	39130417	18:39130217-39130417	.	200	cluster_3	Gm15334
18	65105319	65105519	18:65105319-65105519	.	200	cluster_3	Nedd4l
18	70588089	70588289	18:70588089-70588289	.	200	cluster_3	4930503L19Rik
18	89215488	89215688	18:89215488-89215688	.	200	cluster_3	Cd226
19	29441156	29441356	19:29441156-29441356	.	200	cluster_3	A930007I19Rik
19	37150252	37150452	19:37150252-37150452	.	200	cluster_3	A330032B11Rik
19	38123328	38123528	19:38123328-38123528	.	200	cluster_3	Pde6c
19	58327069	58327269	19:58327069-58327269	.	200	cluster_3	Gfra1
